Gene	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
ABCB4	555.713	10.7442	7.22582	4.31128	4.60586	7.40644	8.04398	6.46999	7.83308	9.31229	13.6828	4.55671	6.2025	7.95136	27.5577	121.432	114.637	4.87218	4.72799	34.1137	15.0305	14.9069
ABCB9	15.6035	22.0948	653.392	24.2237	35.6715	30.0482	38.4554	17.6048	46.0737	19.7157	21.8637	16.3961	20.3094	56.2519	29.3809	40.3903	123.993	23.3846	53.4668	23.6157	29.7864	33.6791
ACAP1	215.306	321.621	38.6169	1055.61	1790.1	922.153	340.883	1107.8	1995.48	280.076	512.637	387.582	190.879	48.9722	30.9743	23.0552	61.3865	26.4129	104.2	73.6079	696.443	596.026
ACHE	15.1179	16.6488	22.1237	13.4283	27.1877	18.4449	13.4413	14.8055	24.6527	33.6584	16.6537	13.4413	16.3753	13.693	1373.07	48.5858	16.7155	193.16	13.9488	20.5012	40.4149	22.7665
ACP5	605.897	1935.2	1120.1	306.313	744.657	557.82	248.547	711.95	958.916	493.969	340.82	239.277	512.931	13644.2	1062.48	7633.96	13825.1	3989.87	263.498	323.381	860.563	307.143
ADAM28	1943.74	1148.12	324.781	22.6897	40.0617	21.2333	15.2096	24.2814	74.7663	24.3708	193.609	94.4058	58.3112	54.9665	274.64	360.682	37.2917	53.2196	137.854	116.88	546.006	128.686
ADAMDEC1	371.034	318.479	127.967	44.6163	80.9645	47.4335	30.553	68.7379	156.708	231.827	68.2776	48.3992	106.301	4464.26	8524.02	5004.97	164.841	1784.61	730.192	1569.76	175.17	185.506
ADAMTS3	146.196	106.052	74.3392	42.3904	79.2418	57.3859	53.413	35.4111	76.2806	65.268	31.4353	50.8197	54.7971	45.5605	32.3402	33.3514	48.698	44.2269	650.183	406.233	100.736	124.357
ADRB2	486.344	510.081	289.798	899.649	77.154	595.211	142.832	97.1742	217.063	2378.45	1957.54	2360.47	664.884	143.018	787.624	363.185	175.633	82.9117	4628.68	2887.87	1969.03	735.663
AIF1	24.0743	20.3219	21.9696	742.816	718.615	35.1722	39.5088	19.0777	29.367	1086.96	105.735	23.1704	8655.68	1841.27	1611.23	11610.3	3285.64	26.9239	1851.12	1672.63	51.1765	6260.64
