tissue	genus	rosacea_median	control_median	p_value	note
Skin	Cutibacterium	35.14	20.93	0.088	n.s.
Skin	Neisseria	18.65	1.35	0.023	significant
Skin	Staphylococcus	13.97	8.82	0.152	n.s.
Skin	Corynebacterium	10.56	0.21	0.015	significant
Skin	Bacteroides	2.94	7.49	0.001	significant
Skin	Faecalibacterium	1.28	7.42	<0.001	significant
Skin	Prevotella	0.47	6.75	0.001	significant
Skin	Blautia	0.83	2.81	0.001	significant
Skin	Ruminococcus	0.69	2.48	0.001	significant
Skin	Subdoligranulum	0.28	1.71	0.017	significant
Blood	Ruminococcus	4.7	7.13	0.032	significant
Blood	Subdoligranulum	1.95	4.65	0.033	significant
