name	ID	mz	rt	ppm	formula	KEGG	Rosacea_Mean	Rosacea_Median	Rosacea_RSD	control_Mean	control_Median	control_RSD	FC	log2FC	P.value	-log10(P.value)	FDR	VIP	posneg	Class
o-Toluate	M135T526	135.045	525.5	0.918212447699425	C8H8O2	C07215	2746370.56	2299445.9	41.48	1125371.55	938188.29	41.75	2.44	1.29	3.58522394124324e-8	7.45	4.51197050718725e-6	2.19971158204911	neg	Benzoic acids and derivatives
D-Glucopyranoside	M161T626	161.0432	626.4	11.2390939649584	C6H12O6	C00738	20978220.73	14129123.79	77.44	3218867.16	2066629.85	81.63	6.52	2.7	4.41073453582732e-8	7.36	4.98637277185902e-6	2.16965067093106	neg	Carbohydrates and carbohydrate conjugates
Alpha-Lactose	M342T153	342.1189	153.1	7.89205538938047	C12H22O11	C00243	7699474.77	5670533.11	74.59	29268121.37	30085880.41	44.69	0.26	-1.93	1.17239685330417e-7	6.93	9.89859115384657e-6	2.16323609377849	neg	Alcohols and polyols
trans-Ferulic acid	M195T356	195.1223	356	1.95089983572332	C10H10O4	C01494	3658851.72	3579964.36	22.99	9771997.53	9648224.97	17.78	0.37	-1.42	3.82000933373105e-14	13.42	1.82011409841668e-11	2.12280566704864	pos	Hydroxycinnamic acids and derivatives
Lidocaine	M235T480	235.1797	479.9	3.29960451519364	C14H22N2O	C07073	10190457.6	9998812.35	23.04	5221524.94	5267006.68	15.28	1.95	0.96	9.09268444899288e-11	10.04	6.6519722066197e-9	2.01106266989426	pos	Xylenes
L-Formylkynurenine	M237T345	237.0862	344.9	3.27306043163622	C11H12N2O4	C02700	284180.29	259758.14	63.43	2362455.36	2184919.65	47.77	0.12	-3.06	1.64114989419714e-10	9.78	1.11782114776307e-8	1.98930101017554	pos	Amines
Vanillylmandelic acid	M198T694	198.1847	694.1	1.25054763570818	C9H10O5	C05584	44669746.97	36124511.21	47.76	12151495.72	11642647.58	24.35	3.68	1.88	1.20975836865125e-10	9.92	8.53419720599423e-9	1.96958218576289	pos	Methoxyphenols
N-Methyltyramine	M151T302	151.0961	301.6	23.8258962342894	C9H13NO	C02442	2309278.05	2315952.46	17.84	3774301.55	3834939.99	9.72	0.61	-0.71	2.22986601833106e-11	10.65	2.09740135843258e-9	1.96470398725071	pos	Phenethylamines
Vanillin	M153T534_1	153.0543	533.9	1.80328158036258	C8H8O3	C00755	1113313.71	1113410.56	39.38	2865442	2653007.37	19.14	0.39	-1.36	1.71011962133239e-10	9.77	1.14505551933451e-8	1.95573017241374	pos	Methoxyphenols
Scopoletin	M193T526	193.049	526	2.98369843923173	C10H8O4	C01752	2135645.43	2161630.06	11.37	2832480.25	2834070.42	3.75	0.75	-0.41	2.63460589359461e-10	9.58	1.66528169322328e-8	1.9514065397406	pos	Hydroxycoumarins
Rimantadine	M180T694	180.1742	694.1	2.64188768420744	C12H21N	C07236	35175863.76	26934540.7	63.36	9663436.22	9122273.74	23.62	3.64	1.86	9.17968416304441e-10	9.04	4.39567785286145e-8	1.91662892963956	pos	Amines
Thiabendazole	M202T401	202.0438	401.1	2.09855486785305	C10H7N3S	C07131	1067907119.18	1081471865.5	10.47	1357263699	1368055430.5	3.98	0.79	-0.35	8.74571460803187e-10	9.06	4.26542537765801e-8	1.90375917923805	pos	NA
Dehypoxanthine futalosine	M296T88	296.064	88.5	5.79364436063159	C14H16O7	C17010	113065575.24	115785911.6	65.36	8919362765.93	9219156422	68.03	0.01	-6.3	2.66701050101229e-9	8.57	1.05889698334162e-7	1.90040599920371	pos	NA
Imidazol-5-yl-pyruvate	M155T401	155.0448	401.1	1.78013064601514	C6H6N2O3	C03277	85618195.61	86750511.84	8.73	104590688.22	104791883.7	3.98	0.82	-0.29	1.01135136504998e-9	9	4.76166113950046e-8	1.88402243067899	pos	NA
Procollagen 5-hydroxy-L-lysine	M198T161	197.8076	161.5	2.24679736267933	C7H13N3O3R2	C01211	30247863.16	28055237.77	58.78	96200992.46	109421650.9	45.3	0.31	-1.67	4.24173668629965e-5	4.37	0.000695144562595053	1.88022367580552	neg	NA
Mirtazapine	M266T694	266.172	694.1	25.6375576696702	C17H19N3	C07570	745999259.91	544744486	82.27	52076756.04	47815614.28	21.68	14.32	3.84	1.95643384052274e-8	7.71	5.83312595244156e-7	1.86811153935891	pos	NA
2,4-Dinitrophenol	M183T472	183.0044	471.9	1.77044923513428	C6H4N2O5	C02496	3190211.29	2869595.92	29.72	4827394.35	4774050.47	20.01	0.66	-0.6	1.99050139176539e-5	4.7	0.000390719392675196	1.84473043448468	neg	NA
7-Methyladenine 	M149T509	149.0736	509.4	23.4783355336056	C6H7N5	C02241	449135.29	347821.21	90.66	2626061.69	2439269.06	40.49	0.17	-2.55	4.52134188982135e-9	8.34	1.64038178460197e-7	1.83606488502253	pos	Purines and purine derivatives
Indole	M118T400	118.065	400.5	0.643713208885533	C8H7N	C00463	34452037.92	34350674.95	12.46	44513260.46	44453792.3	6	0.77	-0.37	6.36860214921469e-9	8.2	2.17828249268161e-7	1.8311841063139	pos	Indoles
m-Cresol	M109T556	109.101	556.2	4.24668766551346	C7H8O	C01467	4574011.9	4068691.97	42.6	2117254.83	2123454.17	14.94	2.16	1.11	9.13066695502247e-9	8.04	2.98104957072862e-7	1.82976683458614	pos	Cresols
4-Nitrophenol	M138T617	138.0195	616.7	0.898423773449179	C6H5NO3	C00870	11610874.99	11337184.38	28.04	7171480.76	6762240.71	22.15	1.62	0.7	5.42463535678966e-5	4.27	0.000839496933405732	1.81352143159723	neg	Nitrophenols
5'-Methylthioadenosine	M298T386	298.0955	386.4	4.61597038530733	C11H15N5O3S	C00170	5209376.7	4904100.78	29.41	9378496.49	9184801.8	17.88	0.56	-0.85	2.36871030952954e-8	7.63	6.89006356630621e-7	1.78940649873352	pos	5'-deoxy-5'-thionucleosides
Tryptophanol	M144T399	144.0805	399.1	26.6101242014838	C10H11NO	C00955	22711352.84	22024742.21	24.67	36918601.88	36395545.17	16.43	0.62	-0.7	1.1546598688103e-7	6.94	2.52237540967359e-6	1.7821150311374	pos	Indoles
Porphobilinogen	M226T694	226.1792	694.1	5.66346079120237	C10H14N2O4	C00931	20182182147.01	18553356600.5	86.36	292382990.31	284584635	24.03	69.03	6.11	1.75741906101495e-7	6.76	3.57870309306163e-6	1.78193556608302	pos	Amines
1H-Indole-3-acetamide	M175T113	175.0309	113.4	5.49763418349623	C10H10N2O	C02693	12213646049.56	17386639581.5	66.82	285350115.51	299654018.75	15.28	42.8	5.42	2.88529524666646e-7	6.54	5.4407440916257e-6	1.75558085958868	pos	Indoles
Mechlorethamine	M156T401	156.0385	401.1	27.7111097581487	C5H11Cl2N	C07115	302752742.17	312702837.4	14.81	393775557.36	392073005.9	4.04	0.77	-0.38	9.8150074761753e-8	7.01	2.19683779233034e-6	1.75526863239853	pos	Nitrogen mustard compounds
Nalidixic Acid	M233T540	233.0913	540.1	3.29589306850852	C12H12N2O3	C05079	1243614.92	1222000.59	31.21	2316396.07	2357019.11	21.7	0.54	-0.9	5.49339548220449e-7	6.26	9.21514176324792e-6	1.74655708160881	pos	Naphthyridines
N-Alpha-acetyllysine	M188T399	188.0699	399.1	4.43263438760342	C8H16N2O3	C12989	2016278762.2	1912707215.5	22.31	3086481102.64	3019056937	15.64	0.65	-0.61	3.04505729712459e-7	6.52	5.69508982762176e-6	1.74439928817865	pos	Amino acids, peptides, and analogues
Oleic acid	M283T410	283.1743	410	0.596784881277542	C18H34O2	C00712	2132716.92	1869957.43	42.33	7362901.32	6363914.44	63.36	0.29	-1.79	1.68490114945704e-5	4.77	0.000142836952595065	1.72402084881149	pos	Fatty acids and conjugates
8-Hydroxyquinoline	M146T399	146.0592	399.1	4.76490648306725	C9H7NO	C19434	78253148.21	75841370.75	19.77	114726742.63	112388831.45	16.47	0.68	-0.55	8.76996859886995e-7	6.06	1.36922294035066e-5	1.69752047574029	pos	NA
Succinic acid	M117T80	117.0191	79.7	1.91421742265056	C4H6O4	C00042	12250746.4	11131290.23	21.54	8642326.79	8086643.73	28.63	1.42	0.5	0.000102028440254709	3.99	0.00132915956347444	1.67566476961317	neg	Dicarboxylic acids and derivatives
Guanidinosuccinic acid	M175T690	174.9532	690.4	9.07790202180844	C5H9N3O4	C03139	605731157.25	164801000.5	213.36	22946833.88	23560856.7	42.38	26.4	4.72	7.32139415458226e-5	4.14	0.00104345510707401	1.6657913324696	neg	Amino acids, peptides, and analogues
L-Theanine	M175T97	175.1073	97.1	2.1472502438363	C7H14N2O3	C01047	75416495.5	33680738.98	145.58	9619114.63	2892494.78	139.76	7.84	2.97	5.47085943748556e-5	4.26	0.000363848993397082	1.66386824334928	pos	Amines
7-Aminomethyl-7-carbaguanine	M179T542	179.081	541.9	1.67521959326527	C7H9N5O	C16675	739011.65	625695.05	81.02	2336504.1	2718710.06	40.96	0.32	-1.66	1.85683729702272e-6	5.73	2.56036151549329e-5	1.65648527093945	pos	Pyrrolo[2,3-d]pyrimidines
D-Cathinone	M150T548	150.0911	548.4	1.49144445602805	C9H11NO	C08301	5081387.76	4616891.67	46.4	14947197.97	15628204.56	48.97	0.34	-1.56	2.72751625653197e-6	5.56	3.47022639981628e-5	1.64147098256965	pos	NA
L-Tryptophan	M187T390	187.086	389.8	18.889708476326	C11H12N2O2	C00078	22878055.24	13836568.32	156.81	1361277.26	857356.61	99.45	16.81	4.07	3.55182208956193e-6	5.45	4.25841370707569e-5	1.64037415446825	pos	Indolyl carboxylic acids and derivatives
Palmitic acid	M256T717	256.2616	716.5	2.24770312823625	C16H32O2	C00249	1566152163.67	842996172.35	209.34	81390080.72	43798637.36	159.56	19.24	4.27	4.21711169638571e-6	5.37	4.85146696136923e-5	1.62734752817355	pos	Fatty acids and conjugates
1,5-Naphthalenediamine	M159T399	159.0912	399.1	2.9919945290522	C10H10N2	C19463	63135588.17	60304411.86	20.27	88114120.89	87130119.14	14.4	0.72	-0.48	4.69587569470486e-6	5.33	5.29079983731821e-5	1.61849863657677	pos	NA
Iminoarginine	M173T103	173.0916	102.7	2.07129462671771	C6H12N4O2	C21026	434718699.46	569723330.5	76.55	21035545.51	21587607.85	63.61	20.67	4.37	9.12726925194326e-6	5.04	8.77306014107101e-5	1.613539085682	pos	NA
3,3'-Dimethoxybenzidine	M245T442	245.1353	442.4	27.837688003297	C14H16N2O2	C19231	226848043.25	245191391.55	67.72	46692537.96	48421538.38	11.65	4.86	2.28	3.73466018344396e-6	5.43	4.41069508361595e-5	1.60789708854625	pos	NA
Acetylphosphate	M140T387	139.9804	387	11.8655718299839	C2H5O5P	C00227	8520224.2	4037708.01	109.69	43441521.23	31905127.47	73.76	0.2	-2.35	1.18607144867942e-5	4.93	0.000107221401785081	1.59889430926412	pos	Phosphate esters
Pyroglutamic acid	M129T155	129.0522	154.7	3.19486756531431	C5H7NO3	C01879	42286558.24	41918218.59	66.87	13437193.34	13358346.91	7.26	3.15	1.65	5.00329525159492e-6	5.3	5.5288161934058e-5	1.5974264069355	pos	Amino acids, peptides, and analogues
Dopamine	M136T422	136.0733	421.6	12.7431318267361	C8H11NO2	C03758	12484629.83	7363802.3	100.35	3723377.39	3578911.91	13.41	3.35	1.75	4.49707048418084e-6	5.35	5.11979162759551e-5	1.59347126726667	pos	Benzenediols
Taurine	M126T32	125.9872	32.2	7.10201658586963	C2H7NO3S	C00245	2233000444.72	3221530863	60.64	385225866.19	191773655.35	104.45	5.8	2.54	6.96512248730184e-6	5.16	7.09167948094998e-5	1.59197234239714	pos	Organosulfonic acids and derivatives
12-Hydroxydodecanoic acid	M216T660	216.1951	659.7	1.30442532235267	C12H24O3	C08317	138868860.85	76769840.41	104.49	26718900.66	22568462.63	50.8	5.2	2.38	2.17953991606675e-6	5.66	2.88451337970577e-5	1.58260367880032	pos	Medium-chain hydroxy acids and derivatives
O-Toluidine	M108T347	108.0812	346.7	3.92297642878981	C7H9N	C14403	13915725.48	9586557.42	69.89	51848511.72	38570430.59	62.09	0.27	-1.9	6.90418794499849e-6	5.16	7.05691965762394e-5	1.57771594996431	pos	Toluenes
Cerulenin	M224T701	224.1275	701.1	1.76907289830729	C12H17NO3	C12058	6617863.92	5114869.46	87.69	2400596.18	1770748.79	79.8	2.76	1.46	1.78457237295974e-5	4.75	0.000149073357358562	1.5679899904827	pos	Oxirane carboxylic acids and derivatives
Uric acid	M169T104	169.0351	104	2.81598318924251	C5H4N4O3	C00366	16316210831.93	20785366109.5	74.89	131003573.7	98887982.22	46.69	124.55	6.96	7.02308166502584e-6	5.15	7.13230954182123e-5	1.56050713347807	pos	Purines and purine derivatives
4-Methylcatechol	M123T398	123.045	398.5	1.00776138810654	C7H8O2	C06730	5255509.03	2579670.4	158.31	113759832.89	11413560.66	278.23	0.05	-4.44	0.000702710682155069	3.15	0.00555341261845298	1.54817019718373	neg	Benzenediols
Phenylacetaldehyde	M120T113	119.9469	112.9	10.8815851180989	C8H8O	C00601	19379947.42	16707735.89	45.37	11216054.58	11858033.39	50.97	1.73	0.79	0.0014301537178343	2.84	0.00941670809274905	1.5477700690933	neg	Phenylacetaldehydes
Citric acid	M191T76	191.0192	75.6	0.957626542301785	C6H8O7	C00158	3439050877.2	3309595021	25.14	2604136497.21	2612215631.5	12.36	1.32	0.4	0.000227806532312641	3.64	0.00242726768454523	1.54682988605405	neg	Tricarboxylic acids and derivatives
Benzoate	M123T198	123.0442	197.8	0.0630985288362585	C7H6O2	C00180	37483991.72	36814193.28	30.13	58462067.26	57040580.47	23.67	0.64	-0.64	4.07292498618852e-5	4.39	0.000287579806218727	1.50977595922166	pos	NA
4,5-Dihydroorotic acid	M159T150	158.961	150.1	1.33465568912236	C5H6N2O4	C00337	83551626.74	62511034.74	135.53	11511044.63	11059194.77	36.71	7.26	2.86	1.13408516023353e-5	4.95	0.000103230493675175	1.50950471075334	pos	Amino acids, peptides, and analogues
Undecanoic acid	M187T61	186.9542	61.2	11.3250879466986	C11H22O2	C17715	403360444.24	557499197.85	72.78	34431392.44	29530688.7	34.55	11.71	3.55	1.61755986534286e-5	4.79	0.000137729686602427	1.50739378207237	pos	Fatty acids and conjugates
3,4-Dihydroxyphenylacetate	M168T399	168.0382	399	24.1537077879359	C8H8O4	C01161	5278970.03	2682631.58	147.29	225065077.47	20590090.29	228.7	0.02	-5.41	0.00127242223218566	2.9	0.00867797166531531	1.48432984959168	neg	Benzenediols
Citrulline	M174T94	174.0882	93.9	1.28670409598634	C6H13N3O3	C00327	9258323.43	9124338.96	29.78	14887256.39	13845323.22	39.42	0.62	-0.69	0.00107049520105549	2.97	0.00762842199897448	1.48322867187786	neg	Amino acids, peptides, and analogues
Isocitric acid	M192T141	192.0321	140.6	1.56075058279804	C6H8O7	C00311	9284459.13	6752291.91	64.1	19371061.33	20035856.35	29.35	0.48	-1.06	1.35136499118551e-5	4.87	0.000119031603069752	1.48295634788114	pos	Tricarboxylic acids and derivatives
5-Hydroxyindoleacetic acid	M192T602	192.0652	601.8	1.0644626355614	C10H9NO3	C05635	4458179.91	4079348.42	41.15	2441009.13	2328619.21	20.15	1.83	0.87	1.33753165368959e-5	4.87	0.000118208474225967	1.47588496058556	pos	Indolyl carboxylic acids and derivatives
gamma-Glutamylcysteine	M249T90	248.9598	90.2	0.909738339241248	C8H14N2O5S	C00669	336596092.31	330293793.4	10.32	375506742.39	374465517.55	7.86	0.9	-0.16	0.00165448673121762	2.78	0.0105586025648222	1.47274171353434	neg	Amino acids, peptides, and analogues
L-Proline	M116T99	116.0702	99.2	3.23941890341206	C5H9NO2	C00148	574461030252.25	389229325319.5	106.12	1300828460.81	1366309992	26.48	441.61	8.79	2.51787305677481e-5	4.6	0.000195419597461471	1.4713557898588	pos	Amino acids, peptides, and analogues
Sebacic acid	M185T579	185.1144	579	0.603248164258771	C10H18O4	C08277	545412623.54	174098427	104.28	69752945.36	69422088.6	4.42	7.82	2.97	2.96634234962606e-5	4.53	0.000221941959321927	1.46507159132846	pos	Fatty acids and conjugates
L-Glutamic acid 5-phosphate	M226T647	226.015	646.7	12.2825214975231	C5H10NO7P	C03287	2917887.05	2875388.21	68.44	6025028.07	4435080.17	68.61	0.48	-1.05	0.000681952709040344	3.17	0.00543443795615184	1.45838797052591	neg	Amines
Arachidonic acid	M303T692	303.2308	691.6	7.00456549940686	C20H32O2	C00219	1776225.81	1435545.81	83.29	893408.09	383648.62	171.74	1.99	0.99	0.00215128841861953	2.67	0.0128002620447746	1.45764221224365	neg	Fatty acids and conjugates
4-Methoxy-2,2'-bipyrrole-5-carbaldehyde	M190T399	190.0766	399	12.6264884789755	C10H10N2O2	C21570	11845822.6	11287972.56	21.62	16232893.71	15948555.77	18.19	0.73	-0.45	7.12641578268721e-5	4.15	0.000455018684743098	1.45744409954251	pos	NA
2',4'-Dihydroxyacetophenone	M151T609	151.0398	608.6	1.48305281107673	C8H8O3	C03663	7560840.94	5843806.26	84.47	3634704.79	3155513.88	27.91	2.08	1.06	0.000565334686683595	3.25	0.00474312246563469	1.44500256720624	neg	Acetophenones
Ethylmethylacetic acid	M101T148	101.0248	148.3	14.8461476984075	C5H10O2	C18319	5155100.77	4782710.15	23.3	6602152.45	6693513.99	18.24	0.78	-0.36	0.00121081453585771	2.92	0.00834311255596168	1.44468938946697	neg	Fatty acids and conjugates
Pyrimidodiazepine	M221T275	221.0914	275	0.45230162730581	C9H11N5O2	C02587	3830261.38	3740434.57	19.56	4903306.27	4786316.15	12.37	0.78	-0.36	0.000101548052535003	3.99	0.000609674136078309	1.43956513595811	pos	NA
Phosphorylcholine	M184T90	184.0722	90	4.08682304010103	C5H15NO4P	C00588	13633370.91	13059834.43	31.27	7982992.81	7181831.77	37.44	1.71	0.77	0.0001226611363713	3.91	0.000709477041339415	1.43515031475478	pos	Quaternary ammonium salts
L-Malic acid	M133T79	133.0141	79.1	0.932231996454277	C4H6O5	C00149	69343600.09	68701493.92	24.72	50113122.86	43378471.79	27.72	1.38	0.47	0.00104153722134477	2.98	0.00745391981370133	1.43407454197688	neg	Beta hydroxy acids and derivatives
Butyryl-L-carnitine	M232T378	232.1535	378.2	1.28939584801882	C11H21NO4	C02862	82226213.09	43345239.77	103.47	11201419.6	8366045.35	86.57	7.34	2.88	0.000151838411952726	3.82	0.000846630411318622	1.43197700912901	pos	NA
Methylimidazoleacetic acid	M141T103	141.0654	103.3	3.37432141398194	C6H8N2O2	C05828	81394636.9	70888187.47	83.99	18209345.49	18924865.68	20.89	4.47	2.16	4.45978451321989e-5	4.35	0.000310182723934422	1.42986513662272	pos	Imidazoles
Xanthine	M153T170	153.0404	169.5	1.80344536465723	C5H4N4O2	C00385	9545987.49	8667651.12	32.89	17143905	14936596.39	55.96	0.56	-0.84	8.55982908117511e-5	4.07	0.000529610098436684	1.41338337597799	pos	Purines and purine derivatives
Dethiobiotin	M215T499	215.1384	499.3	2.67734630369878	C10H18N2O3	C01909	1662229.09	806926.08	108.37	2933269.5	2822049.74	19.77	0.57	-0.82	4.72281545318898e-5	4.33	0.000325326633789417	1.41295004542292	pos	Fatty acids and conjugates
5-Hydroxymethyluracil	M143T677	143.0487	677.3	25.3340295997242	C5H6N2O3	C03088	3341921.25	1104169.39	125.41	6103550.34	6109673.23	10.04	0.55	-0.87	6.83210035372528e-5	4.17	0.00043886524304702	1.41076153417626	pos	Pyrimidines and pyrimidine derivatives
N-Formyl-L-methionine	M177T31_2	176.9709	31	5.61284678434911	C6H11NO3S	C03145	1869557.48	1675545.87	69.89	5597638.54	4928198	51.47	0.33	-1.58	0.000124943297689735	3.9	0.00072056714966905	1.40796841996033	pos	Amino acids, peptides, and analogues
Thymidine	M242T606	242.1758	606.5	0.337275545214519	C10H14N2O5	C00214	99604467.26	92372211.67	36.66	71767742.07	67678651.28	29.34	1.39	0.47	0.00217321721044479	2.66	0.0128733204206632	1.40751135113953	neg	Pyrimidine 2'-deoxyribonucleosides
L-Glutamine	M145T91	145.0616	91.3	1.54417157954199	C5H10N2O3	C00064	66376968.2	61450458.42	22.92	87572877.8	87194003.48	23.65	0.76	-0.4	0.00243386245396613	2.61	0.0140290730341019	1.40503241020215	neg	Amino acids, peptides, and analogues
