run_accession	sample_accession	fastq_ftp	fastq_bytes	library_name
SRR31465418	SAMN45004436	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/018/SRR31465418/SRR31465418_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/018/SRR31465418/SRR31465418_2.fastq.gz	27011720;30647664	65_S65_L001
SRR31465419	SAMN45004435	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/019/SRR31465419/SRR31465419_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/019/SRR31465419/SRR31465419_2.fastq.gz	29073051;33311016	64_S64_L001
SRR31465428	SAMN45004427	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/028/SRR31465428/SRR31465428_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/028/SRR31465428/SRR31465428_2.fastq.gz	26914983;32439842	56_S56_L001
SRR31465436	SAMN45004420	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/036/SRR31465436/SRR31465436_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/036/SRR31465436/SRR31465436_2.fastq.gz	28348561;33005382	49_S49_L001
SRR31465437	SAMN45004419	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/037/SRR31465437/SRR31465437_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/037/SRR31465437/SRR31465437_2.fastq.gz	29743276;33980086	48_S48_L001
SRR31465439	SAMN45004417	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/039/SRR31465439/SRR31465439_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/039/SRR31465439/SRR31465439_2.fastq.gz	21595694;24390211	46_S46_L001
SRR31465441	SAMN45004415	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/041/SRR31465441/SRR31465441_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/041/SRR31465441/SRR31465441_2.fastq.gz	23129860;26794744	44_S44_L001
SRR31465443	SAMN45004413	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/043/SRR31465443/SRR31465443_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/043/SRR31465443/SRR31465443_2.fastq.gz	24278174;29027496	42_S42_L001
SRR31465446	SAMN45004411	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/046/SRR31465446/SRR31465446_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/046/SRR31465446/SRR31465446_2.fastq.gz	21814345;25051900	40_S40_L001
SRR31465447	SAMN45004410	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/047/SRR31465447/SRR31465447_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/047/SRR31465447/SRR31465447_2.fastq.gz	18170928;18757447	39_S39_L001
SRR31465451	SAMN45004406	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/051/SRR31465451/SRR31465451_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/051/SRR31465451/SRR31465451_2.fastq.gz	30824438;34817512	35_S35_L001
SRR31465464	SAMN45004394	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/064/SRR31465464/SRR31465464_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/064/SRR31465464/SRR31465464_2.fastq.gz	30991942;33888858	23_S23_L001
SRR31465466	SAMN45004392	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/066/SRR31465466/SRR31465466_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/066/SRR31465466/SRR31465466_2.fastq.gz	29461391;33122667	21_S21_L001
SRR31465467	SAMN45004374	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/067/SRR31465467/SRR31465467_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/067/SRR31465467/SRR31465467_2.fastq.gz	2478446;2945192	3_pskin16
SRR31465469	SAMN45004390	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/069/SRR31465469/SRR31465469_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/069/SRR31465469/SRR31465469_2.fastq.gz	17959139;19982190	19_S19_L001
SRR31465476	SAMN45004383	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/076/SRR31465476/SRR31465476_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/076/SRR31465476/SRR31465476_2.fastq.gz	28285413;32306166	12_S12_L001
SRR31465481	SAMN45004463	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/081/SRR31465481/SRR31465481_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/081/SRR31465481/SRR31465481_2.fastq.gz	15895839;17992009	92_S92_L001
SRR31465485	SAMN45004460	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/085/SRR31465485/SRR31465485_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/085/SRR31465485/SRR31465485_2.fastq.gz	26837050;29084002	89_S89_L001
SRR31465486	SAMN45004459	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/086/SRR31465486/SRR31465486_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/086/SRR31465486/SRR31465486_2.fastq.gz	27767874;30415267	88_S88_L001
SRR31465490	SAMN45004455	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/090/SRR31465490/SRR31465490_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/090/SRR31465490/SRR31465490_2.fastq.gz	30091885;33431999	84_S84_L001
SRR31465494	SAMN45004380	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/094/SRR31465494/SRR31465494_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/094/SRR31465494/SRR31465494_2.fastq.gz	31223767;35658359	9_S9_L001
SRR31465495	SAMN45004451	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/095/SRR31465495/SRR31465495_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/095/SRR31465495/SRR31465495_2.fastq.gz	15900366;17771869	80_S80_L001
SRR31465504	SAMN45004442	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/004/SRR31465504/SRR31465504_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/004/SRR31465504/SRR31465504_2.fastq.gz	28017792;32385538	71_S71_L001
SRR31465508	SAMN45004439	ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/008/SRR31465508/SRR31465508_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR314/008/SRR31465508/SRR31465508_2.fastq.gz	23532257;28320690	68_S68_L001
