run_accession	sample_accession	library_name
SRR31465418	SAMN45004436	65_S65_L001
SRR31465467	SAMN45004374	3_pskin16
SRR31465476	SAMN45004383	12_S12_L001
SRR31465490	SAMN45004455	84_S84_L001
SRR31465494	SAMN45004380	9_S9_L001
SRR31465495	SAMN45004451	80_S80_L001
SRR31465508	SAMN45004439	68_S68_L001
SRR31465416	SAMN45004438	67_S67_L001
SRR31465445	SAMN45004376	5_S5_L001
SRR31465456	SAMN45004375	4_S4_L001
SRR31465471	SAMN45004388	17_S17_L001
SRR31465474	SAMN45004385	14_S14_L001
SRR31465489	SAMN45004456	85_S85_L001
SRR31465492	SAMN45004453	82_S82_L001
SRR31465493	SAMN45004452	81_S81_L001
SRR31465497	SAMN45004449	78_S78_L001
SRR31465417	SAMN45004437	66_S66_L001
SRR31465423	SAMN45004378	7_S7_L001
SRR31465434	SAMN45004377	6_S6_L001
SRR31465470	SAMN45004389	18_S18_L001
SRR31465472	SAMN45004387	16_S16_L001
SRR31465473	SAMN45004386	15_S15_L001
SRR31465475	SAMN45004384	13_S13_L001
SRR31465477	SAMN45004382	11_S11_L001
SRR31465478	SAMN45004373	2_pskin23_L001
SRR31465479	SAMN45004372	1_pskin26
SRR31465483	SAMN45004381	10_S10_L001
SRR31465491	SAMN45004454	83_S83_L001
SRR31465496	SAMN45004450	79_S79_L001
SRR31465505	SAMN45004379	8_S8_L001
SRR31465507	SAMN45004440	69_S69_L001
