sample	Shannon	Observed
SRR31465416	3.94721788776095	61
SRR31465417	4.51561619259138	105
SRR31465418	4.29661017398293	86
SRR31465423	4.85591122391543	166
SRR31465434	4.95870044434476	167
SRR31465445	5.07255573017006	200
SRR31465456	5.33868285736005	252
SRR31465467	2.49017779555375	16
SRR31465470	5.01594563123208	171
SRR31465471	5.09458067431979	205
SRR31465472	5.08593457199738	190
SRR31465473	5.00389111774981	198
SRR31465474	4.81593734283892	160
SRR31465475	5.03463040393906	187
SRR31465476	4.78962952216086	140
SRR31465477	4.94454395131379	171
SRR31465478	3.13931450563226	28
SRR31465479	0	1
SRR31465483	4.99990729714166	190
SRR31465489	4.75595786868163	143
SRR31465490	4.40181791689834	106
SRR31465491	4.98265985049067	174
SRR31465492	4.36282516389852	105
SRR31465493	4.56138119383805	120
SRR31465494	4.93545264338381	161
SRR31465495	3.63409436732176	47
SRR31465496	4.6470261775998	132
SRR31465497	4.63693094890789	139
SRR31465505	5.16281151654547	219
SRR31465507	4.50638449681785	102
SRR31465508	3.64216012959012	46
