[Eubacterium]_coprostanoligenes_group	[Eubacterium]_hallii_group	[Ruminococcus]_torques_group	Acidaminobacter	Acidovorax	Acinetobacter	Alistipes	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	Altererythrobacter	Anaerococcus	Anaerostipes	Aquabacterium	ASF356	Azoarcus	Bacillus	Bacteroides	Barnesiella	Bartonella	Bavariicoccus	Bifidobacterium	Blautia	Burkholderia-Caballeronia-Paraburkholderia	Butyrivibrio	Campylobacter	Catenibacterium	Cetobacterium	Christensenellaceae_R-7_group	Chryseobacterium	Cloacibacillus	Clostridia_UCG-014	Clostridioides	Clostridium_sensu_stricto_1	Collinsella	Corynebacterium	Cutibacterium	Dermatophilus	Desulfovibrio	Dialister	Dojkabacteria	Dorea	DTU089	Ellin6067	Enterobacillus	Enterobacter	Enterococcus	Escherichia-Shigella	Exiguobacterium	Extensimonas	Facklamia	Faecalibacterium	Fastidiosipila	Ferrovibrio	Finegoldia	Flavobacterium	Fluviicola	Gastranaerophilales	Gemella	Haemophilus	Haliangium	Halobacillus	Halomonas	Helicobacter	Herbaspirillum	Hydrogenophilus	Incertae_Sedis	Kocuria	Lachnospira	Lachnospiraceae_FE2018_group	Lachnospiraceae_NK4A136_group	Lachnospiraceae_UCG-008	Lactobacillus	Lactococcus	Latescibacterota	Lentimicrobium	Leptothrix	Lysinibacillus	Marinococcus	Mesorhizobium	Microlunatus	Microvirga	Mucilaginibacter	Mycobacterium	NK4A214_group	Novosphingobium	Olsenella	Oscillibacter	Paenibacillaceae	Parabacteroides	Parabasalia	Paracoccus	Parasutterella	Pelomonas	Pelosinus	Peptoniphilus	Phascolarctobacterium	Pleurocapsa_PCC-7319	Prevotella	Prevotellaceae	Prevotellaceae_NK3B31_group	Prevotellaceae_UCG-001	Proteiniborus	Proteiniclasticum	Pseudomonas	Pseudoruegeria	Psychrobacter	Puniceicoccus	Rhodopseudomonas	Rickettsia	Romboutsia	Roseburia	Rubrobacter	Ruminococcus	Saccharimonadales	SB-5	Sericytochromatia	Skermanella	Soehngenia	Soonwooa	Sphingobium	Sphingomonas	Staphylococcus	Stenotrophomonas	Streptococcus	Sutterella	Termite_Treponema_cluster	Thalassospira	Thermomonas	TM7x	Trachelomonas	Tyzzerella	UBA1819	UCG-004	Unclassified	W5053	Xenorhabdus
SRR31465416	0	0	0	0	0	0.376409083483091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.020421499754942	0	0	0	0	0	0	0	0	0	0	0.458911942493057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.127103414474759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0171540597941513	0	0
SRR31465417	0	0	0	0	0	0.11410874053682	0	0	0	0	0	0	0	0	0	0	0	0.0024776324845148	0	0	0	0	0	0	0	0	0	0.0836889194769442	0	0	0	0	0	0	0.120715760495527	0.00344115622849277	0	0	0	0	0	0	0	0	0	0.0525808671713696	0	0.0656572608396421	0	0	0	0	0	0	0.000275292498279422	0	0	0	0	0	0	0	0	0.0167928423950447	0	0.0196834136269787	0	0	0	0	0.0012388162422574	0	0	0	0.00605643496214728	0	0	0	0	0.0132140399174123	0	0	0	0.0174810736407433	0	0	0	0	0	0.08093599449415	0	0	0	0	0	0	0	0	0	0	0	0	0.0134893324156917	0	0.0291810048176187	0	0	0	0	0	0	0	0	0.000275292498279422	0	0	0	0	0	0.0535443909153476	0.168479008947006	0	0.0536820371644873	0	0	0.0115622849277357	0.00812112869924294	0	0	0	0	0	0.063317274604267	0	0
SRR31465418	0	0	0	0	0	0.0535511363636364	0	0.015625	0	0	0	0	0	0	0	0	0	0.0176136363636364	0	0	0	0	0	0	0	0	0	0.0115056818181818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.55	0	0	0	0	0	0	0	0.0480113636363636	0	0	0.0882102272727273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0365056818181818	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0203125	0	0.0598011363636364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0190340909090909	0	0	0	0	0	0	0	0	0	0	0	0	0.0217329545454545	0	0	0.00539772727272727	0	0.04375	0	0	0	0	0	0	0	0	0	0.00894886363636364	0	0
SRR31465423	0	0	0	0	0.0170323325635104	0.293013856812933	0	0.023094688221709	0	0	0	0.0636547344110854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00808314087759815	0	0	0	0	0	0	0	0	0	0	0.0637990762124711	0	0	0	0	0	0	0	0.00115473441108545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0164549653579677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0105369515011547	0	0.0249711316397229	0	0	0	0.00952655889145496	0	0	0	0.0274249422632794	0.00981524249422633	0	0	0.340069284064665	0.0333429561200924	0	0	0.0370958429561201	0	0	0	0	0	0	0	0	0	0	0	0.0209295612009238
SRR31465434	0	0	0	0	0	0.193948562783661	0	0	0	0	0	0.0263237518910741	0	0	0	0	0	0	0.00907715582450832	0	0	0.0245083207261725	0	0	0	0	0	0	0	0	0	0	0	0	0.0125567322239032	0	0	0	0	0	0	0	0	0.0322239031770045	0	0.140847201210287	0	0	0	0	0	0	0.122087745839637	0.0048411497730711	0	0	0	0	0	0.0594553706505295	0	0	0	0	0	0	0	0	0	0	0	0.0423600605143722	0	0	0	0	0	0	0	0	0	0	0	0.00590015128593041	0	0	0	0.0384266263237519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0408472012102874	0	0	0	0	0	0.246596066565809	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR31465445	0	0	0	0	0	0.211418685121107	0	0	0	0	0	0.0286043829296424	0	0	0.0119953863898501	0	0	0	0	0	0	0.0238754325259516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.102537485582468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00922722029988466	0	0	0	0	0	0	0	0	0	0	0	0.00219146482122261	0	0	0	0.00334486735870819	0	0	0	0	0	0	0	0.0275663206459054	0	0	0	0	0	0	0.00807381776239908	0	0	0	0.0123414071510957	0	0.00196078431372549	0.0253748558246828	0	0	0.0445213379469435	0	0	0.0262975778546713	0.0118800461361015	0	0	0	0	0	0.00219146482122261	0	0.319261822376009	0.0529411764705882	0	0	0	0	0	0	0	0	0	0	0	0	0.0743944636678201	0	0
SRR31465456	0	0	0	0	0	0.404824331410593	0	0.0250655479811222	0.0132144729942318	0	0	0.0169900367068694	0	0	0.0228631358154169	0	0	0.00576822233875197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0201363398007341	0	0	0	0	0	0	0	0	0	0	0.10487676979549	0	0.0231777661248034	0	0	0	0	0	0.0119559517566859	0	0	0	0	0	0.0431043523859465	0.0105925537493445	0	0	0	0	0.00618772941793393	0	0	0	0	0	0	0.010487676979549	0	0	0	0	0	0	0	0.0149973780807551	0	0	0.0255899318300996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00901940220241217	0	0	0	0	0	0	0	0	0	0	0	0	0	0.138647089669638	0.0533822758259046	0	0	0	0	0	0	0	0	0	0	0	0	0.0167802831672784	0.0223387519664394	0
SRR31465467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0344287949921753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125195618153365	0.741784037558685	0	0	0	0	0	0	0	0	0.0156494522691706	0	0	0	0	0	0.02660406885759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0219092331768388	0	0.0140845070422535	0	0	0	0	0	0	0	0	0.0203442879499218	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR31465470	0	0	0	0	0	0.425311203319502	0	0	0.0163791220790566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00797117274514086	0.00393098929897358	0	0	0	0	0	0	0	0	0	0.310002183882944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00174710635509937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.205175802576982	0.0294824197423018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRR31465471	0	0	0	0	0.0108182044267595	0.148719224073614	0	0	0.0175329520019896	0.029843322556578	0	0.0396667495647849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00373041531957225	0	0	0	0	0	0	0	0	0	0	0.0874160656553096	0	0.0121860233772693	0	0	0	0	0.0759761253419547	0.00522258144740114	0	0	0	0	0.0239990052225814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00659040039791097	0	0	0	0	0	0	0	0.0329520019895548	0	0	0	0	0	0.0645361850285999	0	0	0	0	0	0	0	0	0	0	0	0	0.038174583436956	0	0	0	0.0181546878885849	0	0	0	0	0	0	0	0.27555334493907	0.0242476995772196	0.0625466301914947	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0221337975627953
