input	filtered	denoisedF	denoisedR	merged	nonchim
SRR31465416	136827	11705	11590	11590	11350	6541
SRR31465417	217022	12586	12180	12227	11351	7366
SRR31465418	147950	13421	13214	13245	12734	7040
SRR31465423	124954	9957	9773	9838	9299	7008
SRR31465434	130800	10561	10343	10455	9866	6819
SRR31465445	144930	14826	14372	14509	13604	9322
SRR31465456	165301	17850	17517	17489	16427	9770
SRR31465467	13059	1246	1071	1006	943	799
SRR31465470	142721	15388	15262	15312	14773	9339
SRR31465471	152038	15343	14822	14959	14158	9803
SRR31465472	157031	16466	15982	16107	15211	9248
SRR31465473	124649	11580	11138	11342	10564	7657
SRR31465474	117637	7641	7490	7564	7092	5315
SRR31465475	154203	16280	15938	15985	15129	9396
SRR31465476	152842	13154	12756	12791	11895	7354
SRR31465477	148427	13253	12774	12968	12078	7346
SRR31465478	9095	1352	1185	983	764	683
SRR31465479	1080	43	8	2	2	2
SRR31465483	138585	13834	13593	13630	12995	8829
SRR31465489	138698	14405	14052	14077	13162	9354
SRR31465490	160182	12361	11950	11869	11069	8020
SRR31465491	187378	21023	20282	20225	19031	11530
SRR31465492	172810	16532	16156	16199	14832	8435
SRR31465493	170040	13795	13165	13296	12043	8802
SRR31465494	166749	12382	11997	12205	11309	7880
SRR31465495	83348	3656	3554	3499	3105	2128
SRR31465496	165443	13735	13112	13157	12256	8160
SRR31465497	159673	14868	14178	14057	12941	9974
SRR31465505	169555	15525	15226	15161	14450	8835
SRR31465507	159803	12850	12685	12745	12360	8328
SRR31465508	138546	11090	10973	10969	10679	7753
