cell_type	mean_Rosacea	mean_HC	median_Rosacea	median_HC	p_value	fdr
T cells regulatory (Tregs)	0.000979764264074012	0.0537851797437108	0	0.0564803503534083	4.33075371204824e-15	9.52765816650612e-14
Mast cells resting	0.063103032282924	0.146705564022778	0.0705302613089182	0.148527787296928	2.05710801322291e-14	2.2628188145452e-13
T cells follicular helper	0.095715657161091	0.0301365444522992	0.0998749166129479	0.0298260992205179	1.03634656412055e-10	7.5998748035507e-10
Macrophages M1	0.0763219866748606	0.0227405906566569	0.0698091264853113	0.0203904475503907	2.1945578687621e-10	1.20700682781916e-09
B cells naive	0.0387319292839231	0.00386304320193158	0.0426368011366779	0	2.57959742455682e-09	1.135022866805e-08
T cells gamma delta	0.0324283542746572	0.00111450092750049	0.0224110494339104	0	4.44531371712742e-08	1.62994836294672e-07
Neutrophils	0.0389741832371124	0.069452167073406	0.0391150409589504	0.0733894551958298	4.24056005026608e-05	0.000133274744436934
Monocytes	0.0132060774358153	0.000386006078984103	0.00874662781507205	0	0.000105650454394146	0.000290538749583902
Plasma cells	0.106766339767972	0.076239487125337	0.108699550320896	0.0761700894410086	0.00294621269237527	0.00720185324802844
T cells CD4 memory resting	0.0851793946118959	0.120908713552341	0.0854367428628102	0.119656427482	0.0041337620126282	0.00909427642778205
T cells CD4 memory activated	0.00441684099508611	0	0	0	0.0181195264753229	0.0362390529506458
Macrophages M2	0.107510617334147	0.124886398408521	0.104121368656657	0.120485967601276	0.0319303992423943	0.0585390652777228
T cells CD8	0.0792459631995571	0.104210293119809	0.0850406493841601	0.102922112040403	0.0409539913658312	0.069306754619099
Dendritic cells resting	0.0771123603243507	0.0647284188307942	0.0731875171118255	0.0579020389255639	0.0905576321028976	0.14230485044741
NK cells activated	0.112547622307901	0.123561317746328	0.115445361183238	0.127940987211895	0.309429944240881	0.453830584886626
Macrophages M0	0.0153121205959767	0.0117125756010129	0.0110971563641979	0.0111846490761014	0.352851920494415	0.485171390679821
Dendritic cells activated	0.0496900450582858	0.0430591959965769	0.050483511993283	0.0440817467748708	0.477351391232519	0.617748859242083
B cells memory	0.00220132855592568	0.00251000346201163	0	0	0.926216220360855	1
T cells CD4 naive	0.000490723737532809	0	0	0	1	1
NK cells resting	0	0	0	0	1	1
Mast cells activated	6.5658896911922e-05	0	0	0	1	1
Eosinophils	0	0	0	0	1	1
