sample	p_value	rmse
GSM1611035	0.0693069306930693	1187.73282840886
GSM1611036	0.0693069306930693	1188.64077597358
GSM1611037	0.0297029702970297	1201.51650338943
GSM1611038	0.118811881188119	1210.71733483525
GSM1611039	0.148514851485149	1257.79232606209
GSM1611040	0.0891089108910891	1214.61085925281
GSM1611041	0.0495049504950495	1180.73257871705
GSM1611042	0.217821782178218	1243.13390542242
GSM1611043	0.108910891089109	1226.11528938942
GSM1611044	0.108910891089109	1215.59159554527
GSM1611045	0.0198019801980198	1171.91913526939
GSM1611046	0.0396039603960396	1167.82300797192
GSM1611047	0.0297029702970297	1177.46263511829
GSM1611048	0.0297029702970297	1153.56728610671
GSM1611049	0.257425742574257	1270.89094920534
GSM1611050	0.336633663366337	1276.4265598773
GSM1611051	0.178217821782178	1261.7329529354
GSM1611052	0.207920792079208	1269.56493534328
GSM1611053	0.118811881188119	1225.18066803097
GSM1611054	0.0396039603960396	1196.73410428152
GSM1611055	0.237623762376238	1280.05336135671
GSM1611056	0.178217821782178	1280.16034813163
GSM1611057	0.108910891089109	1254.73091462895
GSM1611058	0.247524752475248	1273.8229233237
GSM1611059	0.198019801980198	1255.08891566854
GSM1611060	0.138613861386139	1242.31789774469
GSM1611061	0.237623762376238	1279.34297588393
GSM1611062	0.277227722772277	1304.83409473577
GSM1611063	0.178217821782178	1240.59365437811
GSM1611064	0.099009900990099	1229.37401123537
GSM1611065	0.188118811881188	1247.73054056154
GSM1611066	0.198019801980198	1261.46041036875
GSM1611067	0.237623762376238	1250.48373195712
GSM1611068	0.188118811881188	1241.15448380242
GSM1611069	0.237623762376238	1277.92830918979
GSM1611070	0.297029702970297	1287.3335730164
GSM1611071	0.148514851485149	1238.62209263372
GSM1611072	0.128712871287129	1231.28988706294
GSM1611073	0.306930693069307	1286.96607977566
GSM1611074	0.207920792079208	1281.46825488388
GSM1611075	0.188118811881188	1237.35075976517
GSM1611076	0.108910891089109	1229.9329246566
GSM1611077	0.287128712871287	1295.81562400902
GSM1611078	0.356435643564356	1293.14260099078
GSM1611079	0.0594059405940594	1196.73339118857
GSM1611080	0.128712871287129	1230.01680700053
GSM1611081	0.138613861386139	1241.30591473784
GSM1611082	0.168316831683168	1261.48428012396
GSM1611083	0.277227722772277	1259.2224233
GSM1611084	0.108910891089109	1255.3827158713
GSM1611085	0.277227722772277	1283.65198785483
GSM1611086	0.465346534653465	1318.30093751142
GSM1611087	0.128712871287129	1249.77104611904
GSM1611088	0.158415841584158	1241.80814758022
GSM1611089	0.237623762376238	1243.55626691593
GSM1611090	0.168316831683168	1250.24025700433
GSM1611091	0.366336633663366	1305.57033610038
GSM1611092	0.297029702970297	1323.29085952248
