gene	selected_in_folds
KLRG2	22
UBR4	19
AGR3	14
HOTAIR	14
LOC105376805	13
PLD1	13
HOXC10	13
HOXA10-AS	13
ATP6V1C2	12
DRC9	12
LOC100130691	12
SPP1	11
WEE1	10
SMPD3	10
KCNJ13	10
LINC01139	9
HOXA10	9
ISL1	9
SERPINB3	8
ZNF440	8
POU3F3	8
ATP12A	7
DNAJB4	7
CD200R1	7
S100A9	6
CTSB	6
PLXNA2	6
SEL1L3	6
MFSD2A	6
FLT1	6
ZNF404	6
OVOS2P	5
AREG	5
EDN1	4
RIPOR3	4
MATCAP2	4
C9orf152	4
AK4	3
ACP3	3
PCDH7	3
HOXB7	3
KCNJ5-AS1	3
ERBB4	3
CTSV	2
SERPINB4	2
NAB1	2
OTUD1	2
LGALS3BP	2
ABCG1	2
CCN3	2
SLC26A9	2
LINC00520	2
BCL2L10	2
TMC8	2
SCGB3A1	2
SLC38A4	2
HLA-DPB1	1
IFI27	1
NFKBIZ	1
KLK10	1
RRAGD	1
F3	1
MET	1
LOC101927164	1
GDPD3	1
GPRIN2	1
JCHAIN	1
SNCA	1
SPNS2	1
ADRB2	1
STMN2	1
ZNF658	1
CHRNA9	1
CYFIP2	1
GALK2	1
UPK1A	1
CD3G	1
WNT5B	1
KRTAP8-1	1
SLA2	1
NHLH2	1
WNT2	1
SLC14A1	1
SERTM1	1
