ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment	log2err
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	200	0.649795769996225	3.08012824380201	1e-10	5e-10	1.26315789473684e-10	3885	tags=64%, list=18%, signal=53%	IFI27/LGALS3BP/PSMA3/PSMB2/RTP4/SPPL2A/CFB/NAMPT/GZMA/GBP6/LY6E/HLA-DQA1/GCH1/VCAM1/SOD2/IL4R/IL10RA/ST8SIA4/PNP/CXCL9/IRF8/HLA-DMA/CCL5/CSF2RB/IL15/PSME2/HLA-DRB1/SLAMF7/PSMA2/CXCL10/PSMB10/TRIM14/PARP14/ISG20/CDKN1A/IRF9/EPSTI1/MYD88/PSME1/CD274/LCP2/CD40/IRF7/GPR18/CCL2/PSMB9/STAT3/CD74/HLA-G/ICAM1/CMPK2/HERC6/IRF1/CXCL11/CASP1/UBE2L6/TAPBP/KLRK1/IFI44/TNFSF10/IFNAR2/APOL6/MX1/BST2/XAF1/CIITA/TMT1B/PLSCR1/IFI30/OAS3/OAS2/SELP/STAT1/OASL/PARP12/LAP3/IFITM3/WARS1/SOCS3/IDO1/PML/IL18BP/MARCHF1/PFKP/USP18/HLA-B/FCGR1A/NMI/UPP1/C1S/SOCS1/OGFR/C1R/CD69/CD38/CASP8/B2M/PNPT1/TNFAIP2/STAT4/GBP4/TAP1/ISOC1/BATF2/PSMB8/CD86/IFI44L/XCL1/VAMP8/CCL7/IFITM2/FPR1/SP110/IFI35/HLA-A/IFIT3/RSAD2/ZBP1/TRIM21/NLRC5/CASP4/ZNFX1/MTHFD2/MX2/ISG15/IFIH1/SAMD9L	NA
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	199	0.63812417412468	3.01696796162662	1e-10	5e-10	1.26315789473684e-10	4041	tags=67%, list=18%, signal=55%	SLC25A5/ALAS1/NDUFA9/CYCS/MRPL15/GPI/SDHD/MRPS11/ACADVL/COX5A/ATP5MC3/UQCRC2/ATP6V0E1/ATP6V1G1/IDH2/ATP5MF/ATP5F1B/GRPEL1/ATP6V0B/FXN/ATP6V0C/MRPS12/HSPA9/COX7B/MRPS15/OXA1L/UQCR10/ACAA2/IMMT/IDH1/SLC25A3/ATP5PB/NDUFS2/HCCS/VDAC1/UQCRH/ATP5PF/TIMM50/NDUFS7/PDHA1/NDUFV1/SDHB/ECH1/COX8A/MDH2/POR/TOMM22/HSD17B10/ATP5F1A/DECR1/IDH3B/SLC25A11/PHB2/DLD/RHOT2/PMPCA/AIFM1/NDUFS3/CYC1/UQCRQ/SDHC/SLC25A6/ACADM/NDUFB8/FH/HADHB/CYB5A/UQCRFS1/NDUFS8/COX10/ETFDH/ACAA1/NDUFS6/TIMM17A/DLAT/ATP5F1D/NDUFA6/NDUFAB1/PDHB/CS/COX6A1/NDUFC2/ACO2/NDUFA3/ATP5MG/NDUFS1/NDUFV2/GPX4/MDH1/LDHB/TOMM70/UQCRC1/COX6B1/COX5B/TIMM10/LDHA/SUCLG1/NQO2/NDUFA2/TCIRG1/NDUFB4/COX6C/VDAC2/MRPL35/SLC25A20/GOT2/ATP5PD/NDUFA1/ECHS1/ATP5F1C/MPC1/ATP5ME/ATP5F1E/ATP6V1C1/ISCU/UQCR11/NDUFB3/SURF1/COX4I1/COX7C/PRDX3/TIMM8B/PDHX/ECI1/ATP5MC1/TIMM13/SDHA/NDUFA8/LRPPRC/IDH3A/VDAC3/NDUFA7/MRPS22	NA
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	200	0.601057354499006	2.84910093174054	1e-10	5e-10	1.26315789473684e-10	3286	tags=55%, list=15%, signal=47%	FYB1/CD2/TLR2/CD3G/CCL19/LTB/CDKN2A/CD3D/WAS/UBE2D1/HCLS1/CD247/SIT1/GZMA/ITK/PTPRC/HLA-DQA1/IFNGR1/TRAT1/HLA-DOB/HLA-DRA/GZMB/MRPL3/CCR5/IL4R/IL2RG/ST8SIA4/CD96/MMP9/CCR2/IL27RA/CD40LG/CXCL9/IRF8/CXCL13/HLA-DMA/CCL5/IL15/SRGN/MAP4K1/IL12RB1/FASLG/HLA-DOA/PSMB10/GPR65/ITGB2/IFNGR2/CTSS/LCK/CD8A/CCL4/IGSF6/ITGAL/LCP2/CD28/MTIF2/CD40/IRF7/FGR/CCL2/CD4/NCF4/CD74/HLA-G/HLA-DMB/ICAM1/PRF1/C2/CRTAM/UBE2N/IL18RAP/TNF/TAPBP/IL2RA/IFNAR2/IL1B/EIF5A/TAP2/CD3E/CSK/STAT1/WARS1/LY86/CD7/NLRP3/CCL22/TLR1/CD80/ZAP70/LYN/ETS1/SOCS1/B2M/TLR6/IFNG/CCR1/STAT4/NME1/TAP1/CD86/KLRD1/CCL7/IL12B/CSF1/CFP/STAB1/CCND3/HLA-A/CD1D/BCL3	NA
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	97	0.660078883040335	2.83953544796049	1e-10	5e-10	1.26315789473684e-10	3885	tags=69%, list=18%, signal=57%	IFI27/LGALS3BP/PSMA3/RTP4/NCOA7/CNP/LY6E/IL4R/IL15/PSME2/IFITM1/CXCL10/TRIM14/OAS1/SELL/PARP14/ISG20/IRF9/EPSTI1/PSME1/IRF7/PSMB9/CD74/CMPK2/PARP9/HERC6/IRF1/CXCL11/CASP1/UBE2L6/IFI44/MX1/BST2/PLSCR1/IFI30/LAMP3/OASL/PARP12/LAP3/IFITM3/WARS1/SAMD9/HLA-C/USP18/NMI/CCRL2/C1S/OGFR/CASP8/B2M/PNPT1/GBP4/TAP1/BATF2/PSMB8/IFI44L/IFITM2/CSF1/SP110/IFI35/IFIT3/RSAD2/TRIM21/ISG15/UBA7/IFIH1/SAMD9L	NA
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	200	0.574134912425426	2.72148456664256	1e-10	5e-10	1.26315789473684e-10	4063	tags=60%, list=18%, signal=49%	CTSC/PSMC4/CXCR4/RAB1A/PSMA3/TPI1/HK2/ENO1/XBP1/PSMA4/ME1/PSME3/NAMPT/ALDOA/PIK3R3/HSPA5/GPI/ERO1A/AURKA/PNP/ACTR2/CORO1A/GOT1/PSMD12/HMGCR/HSPA9/HMGCS1/SC5D/SLC7A5/RDH11/PSPH/IMMT/IDH1/PSMB5/ITGB2/DDX39A/PGK1/TFRC/TXNRD1/CCNF/CANX/CDKN1A/ABCF2/YKT6/TOMM40/HSP90B1/HSPA4/ELOVL5/HMBS/LDLR/SCD/DAPP1/EBP/ACLY/CTH/DHCR7/PGM1/G6PD/INSIG1/MCM2/TM7SF2/GLA/SLC2A3/PSMD13/IDI1/STARD4/TMEM97/TUBG1/RRM2/CCT6A/ATP2A2/SERP1/MLLT11/ADIPOR2/SRD5A1/IFI30/SLA/MAP2K3/LGMN/ARPC5L/DHFR/NFIL3/WARS1/RPN1/IFRD1/SDF2L1/DDIT4/NFKBIB/LDHA/FADS1/CALR/PSMC6/GAPDH/CYP51A1/ACACA/NMT1/PSMC2/HSPD1/EDEM1/STIP1/SQSTM1/POLR3G/CFP/FADS2/PPA1/GLRX/UBE2D3/HSPE1/MTHFD2/CCNG1/ATP5MC1/PSMD14/TBK1/BUB1/SSR1/M6PR/SORD/NHERF1/PPIA	NA
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	200	0.525977209824871	2.49320991976782	1e-10	5e-10	1.26315789473684e-10	3153	tags=47%, list=14%, signal=41%	PTPRE/TLR2/MXD1/FZD5/HBEGF/RTP4/SLC31A1/PTAFR/CCL20/NAMPT/IL7R/CD48/SLC11A2/LY6E/GCH1/IL4R/IL10RA/GABBR1/CCL17/TNFRSF1B/CD82/CXCL9/TPBG/SLAMF1/CCL5/KCNA3/NDP/IL15/TNFRSF9/CXCR6/ADRM1/IFITM1/GPR183/CXCL10/CCR7/OSMR/SELL/IFNGR2/LCK/SPHK1/CDKN1A/TNFSF15/LDLR/LCP2/CD40/IRF7/CD14/CCL2/RGS1/ICAM1/IRF1/CXCL11/SELENOS/IL18RAP/CX3CL1/TAPBP/TNFSF10/IL1B/BST2/PLAUR/ATP2A2/PIK3R5/PDPN/RGS16/LAMP3/IL18R1/CSF3R/CYBB/SLC31A2/NLRP3/CCL22/NOD2/EBI3/TLR1/SELE/LYN/NMI/CCRL2/PTGER4/C3AR1/CD69/SLC7A2/CALCRL/AHR/ROS1/MSR1/FFAR2/CCL7/FPR1/IL12B/CSF1/CXCL8/STAB1/SCARF1	NA
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	87	0.591174787870072	2.49293397726038	1e-10	5e-10	1.26315789473684e-10	3025	tags=48%, list=14%, signal=42%	IL13RA1/HMOX1/TLR2/LTB/CD36/IFNGR1/IL4R/IL2RG/TNFRSF1B/CXCL9/CXCL13/CSF2RB/IL12RB1/CSF2RA/CXCL10/OSMR/IFNGR2/IRF9/TNFRSF21/MYD88/CD14/STAT3/IRF1/CXCL11/TNF/IL2RA/IL1B/PIK3R5/STAT1/IL18R1/BAK1/CSF3R/SOCS3/EBI3/ITGA4/SOCS1/CD38/IL3RA/CRLF2/CCR1/CCL7/CSF1	NA
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	158	0.508347443666757	2.33560098047788	1e-10	5e-10	1.26315789473684e-10	3457	tags=47%, list=16%, signal=40%	ALDH1A1/VNN1/TP53INP2/ACSL5/RDH16/ME1/ALDOA/CD36/SDHD/ACADVL/CIDEA/HMGCS1/RDH11/ACAA2/IDH1/HCCS/GLUL/ELOVL5/PDHA1/PSME1/ECH1/ACAT2/MDH2/HSD17B10/DECR1/IDH3B/DLD/ACSM3/H2AZ1/SDHC/NSDHL/ACADM/FH/UBE2L6/HADHB/ETFDH/IDI1/IL4I1/ACOT2/ACAA1/CPT2/CRAT/ADIPOR2/ACSL4/FASN/PDHB/NBN/UROS/GSTZ1/ACO2/CA6/ACADS/ACSL1/MDH1/LDHA/SUCLG1/MLYCD/HMGCL/GPD1/REEP6/RAP1GDS1/EPHX1/METAP1/HAO2/BCKDHB/HSD17B7/CPOX/ECHS1/TDO2/HSD17B4/CD1D/GCDH/HADH/YWHAH/OSTC	NA
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	200	0.472453116992158	2.23949778794081	1e-10	5e-10	1.26315789473684e-10	3190	tags=36%, list=14%, signal=32%	HSD17B2/CYFIP2/HMOX1/VNN1/PGD/CNDP2/ARG2/XDH/CYP4F2/PPARD/ALAS1/SMOX/SLC35B1/CFB/PTGDS/LPIN2/CYP27A1/GCH1/CD36/NPC1/IRF8/KYNU/ACP1/FBP1/SERTAD1/ASL/AHCY/SSR3/IDH1/PSMB10/GART/PC/SLC46A3/ELOVL5/ECH1/FMO3/NQO1/MCCC2/POR/CYB5A/COMT/ACP2/ETFDH/PAPSS2/TMEM97/CYP2S1/ATP2A2/ARG1/PGRMC1/TMEM176B/ACO2/PTGR1/GCKR/TMBIM6/ACOX2/BLVRB/DDT/UPP1/ITIH4/HACL1/NMT1/EPHX1/LONP1/ACOX3/HRG/DCXR/UPB1/APOE/CROT/TDO2/ALDH2/G6PC1/AP4B1	NA
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	200	0.456473672096216	2.16375285112081	1e-10	5e-10	1.26315789473684e-10	3559	tags=43%, list=16%, signal=36%	NABP1/SLC5A6/SQOR/ME1/MTCH2/ALDOA/MRPL15/TALDO1/TST/UCP2/CD36/IFNGR1/ANGPTL4/AK2/TKT/MIGA2/LPCAT3/CHCHD10/GRPEL1/PPARG/CIDEA/COX7B/GPX3/UQCR10/ACAA2/IMMT/IDH1/SAMM50/ESRRA/DNAJB9/SDHB/ECH1/COX8A/MDH2/PLIN2/POR/ACLY/DECR1/DLD/DHCR7/AIFM1/NDUFS3/CYC1/UQCRQ/SDHC/PGM1/ACADM/ITGA7/AGPAT3/CPT2/CRAT/ADIPOR2/DLAT/NDUFAB1/PREB/CS/COX6A1/TANK/MCCC1/ACO2/COQ9/ACADS/MRAP/GPX4/GADD45A/UQCRC1/SUCLG1/GHITM/DDT/SLC19A1/FZD4/NMT1/REEP6/DHRS7B/APOE/ECHS1/DRAM2/DNAJC15/ALDH2/UQCR11/SLC25A1/HADH/C3/PPM1B/SCARB1/PRDX3	NA
