rep	fold	n_test	n_deg	n_consensus	auc	pr_mean_Rosacea	pr_mean_HC	genes
1	1	12	26	6	1	0.999999977302972	2.22044604925031e-16	CHRNA9;GABBR1;GJB2;RORA;SLC38A4;SLC6A14
1	2	12	32	7	1	0.999999999973387	7.74786229782528e-12	ADRB2;CHRNA9;GABBR1;GJB2;P2RY10;SLC38A4;SLC6A14
1	3	12	32	6	1	0.999999999996775	2.22044604925031e-16	CHRNA9;CNGA1;GJB2;ITPR2;P2RY10;RORA
1	4	11	31	6	1	0.999998598567681	1.45790289903416e-06	ADRB2;CNGA1;ITPR2;P2RY10;RORA;SLC6A14
1	5	11	32	7	1	0.999999999997032	2.22044604925031e-16	CHRNA9;CNGA1;GJB2;P2RY10;RORA;SLC38A4;SLC6A14
2	1	12	26	6	1	0.999999943927837	1.05125772023416e-13	CHRNA9;GABBR1;GJB2;P2RY10;RORA;SLC38A4
2	2	12	32	6	1	1	6.37028823820566e-13	ADRB2;CNGA1;P2RY10;RORA;SLC38A4;SLC6A14
2	3	12	30	6	1	0.999999998320229	1.49783706651857e-13	ADRB2;CHRNA9;CNGA1;GJB2;ITPR2;P2RY10
2	4	11	33	8	1	0.999999999988552	1.27236336527785e-08	ADRB2;CHRNA9;CNGA1;GJB2;ITPR2;P2RY10;SLC38A4;SLC6A14
2	5	11	31	7	1	0.999999999686208	5.89207771143924e-13	ADRB2;CHRNA9;GABBR1;GJB2;P2RY10;SLC38A4;SLC6A14
3	1	12	30	6	1	0.999999999999921	4.18634988904363e-12	ADRB2;CHRNA9;CNGA1;GJB2;P2RY10;SLC38A4
3	2	12	31	6	1	0.999999681466713	3.84703712006158e-08	CNGA1;GJB2;ITPR2;P2RY10;SLC38A4;SLC6A14
3	3	12	32	8	1	0.999999999087289	6.32835337996698e-12	ADRB2;CHRNA9;GABBR1;ITPR2;P2RY10;RORA;SLC38A4;SLC6A14
3	4	11	33	8	1	0.999999999997292	1.45544674780569e-09	CHRNA9;CNGA1;GABBR1;GJB2;ITPR2;P2RY10;RORA;SLC38A4
3	5	11	27	6	1	0.999999999999708	4.6945553123117e-12	CHRNA9;GABBR1;ITPR2;P2RY10;SLC38A4;SLC6A14
4	1	12	31	7	1	0.999999999998814	3.83837007238567e-14	ADRB2;CHRNA9;GABBR1;GJB2;ITPR2;P2RY10;SLC38A4
4	2	12	30	7	1	0.999999999998981	2.22044604925031e-16	ADRB2;CHRNA9;CNGA1;GABBR1;GJB2;ITPR2;SLC6A14
4	3	12	34	8	1	0.999999999964857	1.8311310313343e-10	CHRNA9;CNGA1;GJB2;P2RY10;RORA;SLC38A1;SLC38A4;SLC6A14
4	4	11	30	6	1	0.999999876464185	1.42391571393193e-13	ADRB2;ITPR2;P2RY10;RORA;SLC38A4;SLC6A14
4	5	11	30	5	1	1	4.11868829401642e-12	CHRNA9;GABBR1;GJB2;P2RY10;SLC6A14
5	1	12	33	9	1	0.999997092774797	1.1541071970297e-13	ADRB2;CHRNA9;GABBR1;GJB2;ITPR2;P2RY10;RORA;SLC38A4;SLC6A14
5	2	12	32	6	1	1	2.22044604925031e-16	CHRNA9;CNGA1;GJB2;NR3C2;RORA;SLC38A4
5	3	12	31	6	1	0.999999999686962	1.16811255254952e-06	ADRB2;GJB2;ITPR2;P2RY10;RORA;SLC38A4
5	4	11	28	6	1	1	1.11393517691647e-12	GJB2;ITPR2;P2RY10;RORA;SLC38A4;SLC6A14
5	5	11	31	6	1	0.99999996913698	2.22044604925031e-16	ADRB2;GABBR1;GJB2;P2RY10;RORA;SLC38A4
