rep	fold	n_test	n_deg	n_consensus	auc	pr_mean_Rosacea	pr_mean_HC	genes
1	1	12	1405	18	1	0.999999999968559	1.36984946852212e-12	BCL2L10;CCN3;DRC9;FLT1;HOTAIR;KCNJ13;KRTAP8-1;LOC105376805;MATCAP2;MFSD2A;PLD1;PLXNA2;POU3F3;SERPINB3;SPP1;UBR4;WEE1;ZNF440
1	2	12	1447	18	1	0.999999999974273	1.83577124080248e-11	ATP12A;DNAJB4;DRC9;EDN1;HOXA10;HOXC10;ISL1;KCNJ5-AS1;KLRG2;LINC01139;LOC105376805;MET;PCDH7;PLXNA2;TMC8;UBR4;WEE1;ZNF404
1	3	12	1400	18	1	0.999999999986205	6.41523986857514e-09	AGR3;AK4;ATP6V1C2;CD200R1;CTSB;CYFIP2;DRC9;HOTAIR;HOXA10;HOXA10-AS;HOXC10;ISL1;KCNJ13;KLRG2;LOC100130691;LOC105376805;SMPD3;UBR4
1	4	11	1445	18	1	0.99999999998754	3.12145951491762e-11	AGR3;ATP6V1C2;CD200R1;EDN1;HOXA10;HOXA10-AS;HOXC10;KLRG2;LINC00520;LOC100130691;LOC105376805;NAB1;POU3F3;S100A9;SERPINB3;UBR4;UPK1A;WEE1
1	5	11	1420	11	1	0.999999999995143	2.03078965990907e-12	HOXA10;ISL1;KLRG2;LOC100130691;RIPOR3;SEL1L3;SERPINB3;SERPINB4;SMPD3;UBR4;ZNF404
2	1	12	1361	17	1	0.999999999997677	1.16652812042279e-12	ACP3;ADRB2;AGR3;AK4;CD200R1;DNAJB4;HOXA10;JCHAIN;KLRG2;LINC01139;MFSD2A;OVOS2P;PLD1;SMPD3;SNCA;SPP1;UBR4
2	2	12	1452	18	1	0.99999999999498	3.15830127973692e-13	ACP3;AGR3;ATP6V1C2;DNAJB4;GALK2;HOTAIR;HOXB7;ISL1;OVOS2P;PLXNA2;POU3F3;RIPOR3;SEL1L3;SLC38A4;SMPD3;SPP1;UBR4;WNT5B
2	3	12	1421	8	1	0.999999999994072	5.84932566458308e-11	DRC9;FLT1;HOTAIR;KLRG2;LOC100130691;PLD1;SERPINB3;SPP1
2	4	11	1374	6	1	0.999999999997962	2.22044604925031e-16	AGR3;HOTAIR;KCNJ13;KLRG2;LOC100130691;ZNF440
2	5	11	1515	20	1	0.999997531958278	6.30865111007671e-11	ATP12A;CTSV;DRC9;F3;GPRIN2;HLA-DPB1;HOXA10-AS;IFI27;ISL1;KLK10;KLRG2;LOC101927164;NHLH2;PLD1;S100A9;SERPINB3;SERTM1;SLC26A9;SMPD3;UBR4
