num	citation	search_query
1	Gether L, Overgaard LK, Egeberg A, Thyssen JP. Incidence and prevalence of rosacea: a systematic review and meta-analysis. Br J Dermatol 2018;179(2):282-9.	Gether rosacea incidence prevalence meta-analysis Br J Dermatol 2018
2	Gallo RL, et al. Standard classification and pathophysiology of rosacea: the 2017 update by the National Rosacea Society Expert Committee. J Am Acad Dermatol 2018;78(1):148-55.	Gallo 2017 update National Rosacea Society classification pathophysiology JAAD
3	Ahn CS, Huang WW. Rosacea pathogenesis. Dermatol Clin 2018;36(2):81-6.	Ahn Huang Rosacea pathogenesis Dermatologic Clinics 2018
4	Rainer BM, et al. Characterization and analysis of the skin microbiota in rosacea: a case-control study. Am J Clin Dermatol 2020;21(1):139-47.	Rainer skin microbiota rosacea case-control Am J Clin Dermatol
5	Woo YR, et al. Characterization and analysis of the skin microbiota in rosacea: impact of systemic antibiotics. J Clin Med 2020;9(1):185.	Woo skin microbiota rosacea systemic antibiotics doxycycline J Clin Med
6	Joura MI, et al. Characteristics of the stool, blood and skin microbiome in rosacea patients. Microorganisms 2024;12(12):2667.	Joura stool blood skin microbiome rosacea patients Microorganisms 2024
7	Li M, et al. Correlations between gut microbiota and serum metabolomics in patients with neurogenic rosacea. BMC Microbiol 2025;25:441.	Li gut microbiota serum metabolomics neurogenic rosacea BMC Microbiology
8	Chen M, et al. Single-cell transcriptomics reveals aberrant skin-resident cell populations and identifies fibroblasts as a determinant in rosacea. Nat Commun 2024;15(1):8737.	Chen single-cell transcriptomics aberrant skin-resident cell populations fibroblasts rosacea Nat Commun
9	Koh A, De Vadder F, Kovatcheva-Datchary P, Backhed F. From dietary fiber to host physiology: short-chain fatty acids as key bacterial metabolites. Cell 2016;165(6):1332-45.	Koh dietary fiber host physiology short-chain fatty acids bacterial metabolites Cell
10	Chen YE, Fischbach MA, Belkaid Y. Skin microbiota-host interactions. Nature 2018;553(7689):427-36.	Chen Fischbach Belkaid Skin microbiota-host interactions Nature 2018
11	Wishart DS, et al. MiMeDB: the Human Microbial Metabolome Database. Nucleic Acids Res 2023;51(D1):D611-20.	Wishart MiMeDB Human Microbial Metabolome Database Nucleic Acids Research 2023
12	Zheng R, et al. MEBOCOST: metabolite-mediated cell communication modeling by single cell transcriptome. Nucleic Acids Res 2022;50(W1):W298-305.	Zheng MEBOCOST metabolite-mediated cell communication single cell transcriptome NAR
13	Buhl T, et al. Molecular and morphological characterization of inflammatory infiltrate in rosacea reveals activation of Th1/Th17 pathways. J Invest Dermatol 2015;135(9):2198-208.	Buhl molecular morphological inflammatory infiltrate rosacea Th1 Th17 JID
14	Zhang K, et al. Analysis of blood untargeted metabolomic characteristics of different subtypes of rosacea. Front Mol Biosci 2025;12:1652995.	Zhang blood untargeted metabolomic characteristics subtypes rosacea Front Mol Biosci
15	Newman AM, et al. Robust enumeration of cell subsets from tissue expression profiles. Nat Methods 2015;12(5):453-7.	Newman robust enumeration cell subsets tissue expression CIBERSORT Nat Methods
16	Freshour SL, et al. Integration of the Drug-Gene Interaction Database (DGIdb 4.0). Nucleic Acids Res 2021;49(D1):D1144-51.	Freshour Drug-Gene Interaction Database DGIdb Nucleic Acids Research 2021
17	Shu M, et al. Fermentation of Propionibacterium acnes, a commensal bacterium in the human skin microbiome, as skin probiotics against methicillin-resistant Staphylococcus aureus. PLoS One 2013;8(2):e55380.	Shu Fermentation Propionibacterium acnes skin probiotics PLoS One
18	Maslowski KM, et al. Regulation of inflammatory responses by gut microbiota and chemoattractant receptor GPR43. Nature 2009;461(7268):1282-6.	Maslowski inflammatory responses gut microbiota chemoattractant receptor GPR43 Nature
19	Johnson T, Kang D, Barnard E, Li H. Strain-level differences in porphyrin production and regulation in Propionibacterium acnes elucidate disease associations. mSphere 2016;1(1):e00023-15.	Johnson strain-level porphyrin production Propionibacterium acnes mSphere
20	Figueiredo RT, et al. Characterization of heme as activator of Toll-like receptor 4. J Biol Chem 2007;282(28):20221-9.	Figueiredo heme activator Toll-like receptor 4 J Biol Chem
21	Tannahill GM, et al. Succinate is an inflammatory signal that induces IL-1beta through HIF-1alpha. Nature 2013;496(7444):238-42.	Tannahill succinate inflammatory signal IL-1 beta HIF-1 alpha Nature
22	Louis P, Flint HJ. Diversity, metabolism and microbial ecology of butyrate-producing bacteria from the human large intestine. FEMS Microbiol Lett 2009;294(1):1-8.	Louis Flint butyrate-producing bacteria human large intestine FEMS
23	Nakatsuji T, et al. Staphylococcus aureus exploits epidermal barrier defects in atopic dermatitis to trigger cytokine expression. J Invest Dermatol 2016;136(11):2192-200.	Nakatsuji Staphylococcus aureus epidermal barrier atopic dermatitis JID
24	Chang HW, et al. Alteration of the cutaneous microbiome in psoriasis and potential role in Th17 polarization. Microbiome 2018;6(1):154.	Chang cutaneous microbiome psoriasis Th17 Microbiome
25	Yamasaki K, et al. TLR2 expression is increased in rosacea and stimulates enhanced serine protease production by keratinocytes. J Invest Dermatol 2011;131(3):688-97.	Yamasaki TLR2 rosacea serine protease keratinocytes JID
26	Traisaeng S, et al. A derivative of butyric acid, the fermentation metabolite of Staphylococcus epidermidis, inhibits the growth of a Staphylococcus aureus strain isolated from atopic dermatitis patients. Toxins 2019;11(6):311.	Traisaeng butyric acid Staphylococcus epidermidis fermentation metabolite Toxins
27	Reichardt N, et al. Phylogenetic distribution of three pathways for propionate production within the human gut microbiota. ISME J 2014;8(6):1323-35.	Reichardt three pathways propionate production gut microbiota ISME J
