num	citation	pmid
1	Gether L, Overgaard LK, Egeberg A, Thyssen JP. Incidence and prevalence of rosacea: a systematic review and meta-analysis. Br J Dermatol. 2018;179(2):282-9.	29478264
2	Gallo RL, Granstein RD, Kang S, Mannis M, Steinhoff M, Tan J, et al. Standard classification and pathophysiology of rosacea: the 2017 update by the National Rosacea Society Expert Committee. J Am Acad Dermatol. 2018;78(1):148-55.	29089180
3	Ahn CS, Huang WW. Rosacea pathogenesis. Dermatol Clin. 2018;36(2):81-6.	29499802
4	Rainer BM, Thompson KG, Antonescu C, Florea L, Hopkinson D, Johnson T, et al. Characterization and analysis of the skin microbiota in rosacea: a case-control study. Am J Clin Dermatol. 2020;21(1):139-47.	31502207
5	Woo YR, Lee SH, Cho SH, Lee JD, Kim HS. Characterization and analysis of the skin microbiota in rosacea: impact of systemic antibiotics. J Clin Med. 2020;9(1):185.	31936625
6	Joura MI, Brunner A, Nemes-Nikodem E, Sardy M, Ostorhazi E. Characteristics of the stool, blood and skin microbiome in rosacea patients. Microorganisms. 2024;12(12):2667.	39770869
7	Li M, Fu J, Wei J, Wan M, Li L, Kong M, et al. Correlations between gut microbiota and serum metabolomics in patients with neurogenic rosacea. BMC Microbiol. 2025;25(1):441.	40676500
8	Chen M, Yang L, Zhou P, Jin S, Wu Z, Tan Z, et al. Single-cell transcriptomics reveals aberrant skin-resident cell populations and identifies fibroblasts as a determinant in rosacea. Nat Commun. 2024;15(1):8737.	39384741
9	Koh A, De Vadder F, Kovatcheva-Datchary P, Backhed F. From dietary fiber to host physiology: short-chain fatty acids as key bacterial metabolites. Cell. 2016;165(6):1332-45.	27259147
10	Chen YE, Fischbach MA, Belkaid Y. Skin microbiota-host interactions. Nature. 2018;553(7689):427-36.	29364286
11	Wishart DS, Oler E, Peters H, Guo AC, Saha S, Kruger R, et al. MiMeDB: the Human Microbial Metabolome Database. Nucleic Acids Res. 2023;51(D1):D611-20.	36215042
12	Zheng R, Zhang Y, Tsuji T, Zhang L, Tseng YY, Chen K. MEBOCOST: metabolite-mediated cell communication modeling by single cell transcriptome. Nucleic Acids Res. 2022;50(W1):W298-305.	36444722
13	Buhl T, Sulk M, Nowak P, Buddenkotte J, McDonald I, Aubert J, et al. Molecular and morphological characterization of inflammatory infiltrate in rosacea reveals activation of Th1/Th17 pathways. J Invest Dermatol. 2015;135(9):2198-208.	25848978
14	Zhang K, Feng Y, Zhang X, He X, Qin S, Hu X, et al. Analysis of blood untargeted metabolomic characteristics of different subtypes of rosacea. Front Mol Biosci. 2025;12:1652995.	41393510
15	Newman AM, Liu CL, Green MR, Gentles AJ, Feng W, Xu Y, et al. Robust enumeration of cell subsets from tissue expression profiles. Nat Methods. 2015;12(5):453-7.	25822800
16	Freshour SL, Kiwala S, Cotto KC, Coffman AC, McMichael JF, Song JJ, et al. Integration of the Drug-Gene Interaction Database (DGIdb 4.0) with open crowdsource efforts. Nucleic Acids Res. 2021;49(D1):D1144-51.	33237278
17	Shu M, Wang Y, Yu J, Kuo S, Coda A, Jiang Y, et al. Fermentation of Propionibacterium acnes, a commensal bacterium in the human skin microbiome, as skin probiotics against methicillin-resistant Staphylococcus aureus. PLoS One. 2013;8(2):e55380.	23405142
18	Maslowski KM, Vieira AT, Ng A, Kranich J, Sierro F, Yu D, et al. Regulation of inflammatory responses by gut microbiota and chemoattractant receptor GPR43. Nature. 2009;461(7268):1282-6.	19865172
19	Johnson T, Kang D, Barnard E, Li H. Strain-level differences in porphyrin production and regulation in Propionibacterium acnes elucidate disease associations. mSphere. 2016;1(1):e00023-15.	27303708
20	Figueiredo RT, Fernandez PL, Mourao-Sa DS, Porto BN, Dutra FF, Alves LS, et al. Characterization of heme as activator of Toll-like receptor 4. J Biol Chem. 2007;282(28):20221-9.	17502383
21	Tannahill GM, Curtis AM, Adamik J, Palsson-McDermott EM, McGettrick AF, Goel G, et al. Succinate is an inflammatory signal that induces IL-1beta through HIF-1alpha. Nature. 2013;496(7444):238-42.	23535595
22	Louis P, Flint HJ. Diversity, metabolism and microbial ecology of butyrate-producing bacteria from the human large intestine. FEMS Microbiol Lett. 2009;294(1):1-8.	19222573
23	Kobayashi T, Glatz M, Horiuchi K, Kawasaki H, Akiyama H, Kaplan DH, et al. Dysbiosis and Staphylococcus aureus colonization drives inflammation in atopic dermatitis. Immunity. 2015;42(4):756-66.	25902485
24	Chang HW, Yan D, Singh R, Liu J, Lu X, Ucmak D, et al. Alteration of the cutaneous microbiome in psoriasis and potential role in Th17 polarization. Microbiome. 2018;6(1):154.	30185226
